id igralca,ime,vloga
0041003,David Attenborough,Himself - presenter
0342241,Scott Grimes,Donald G. Malarkey
0507073,Damian Lewis,Richard D. Winters
0515296,Ron Livingston,Lewis Nixon
0853169,Shane Taylor,Eugene G. Roe
0005531,Donnie Wahlberg,C. Carwood Lipton
0950186,Peter Youngblood Hills,Darrell C. (Shifty) Powers
0500614,Matthew Leitch,Floyd M. (Tab) Talbert
1091378,Rod Strohl,Himself
1056790,Nicholas Aaron,Robert E. (Popeye) Wynn
0053028,Philip Barantini,Wayne A. (Skinny) Sisk
0191044,Michael Cudlitz,Denver (Bull) Randleman
0002077,Dexter Fletcher,John W. Martin
0327072,Rick Gomez,George Luz
0534944,James Madio,Frank J. Perconte
0564680,Ross McCall,Joseph D. Liebgott
0020464,Doug Allen,Alton M. More
0130005,George Calil,James H. (Mo) Alley Jr.
0376110,Nolan Hemmings,Charles E. (Chuck) Grant
0481927,Robin Laing,Edward J. (Babe) Heffron
0568180,Neal McDonough,Lynn D. (Buck) Compton
0912012,Rick Warden,Harry F. Welsh
0245653,Dale Dye,Colonel Robert F. Sink
1055413,Michael Fassbender,Burton P. (Pat) Christenson
0400606,Frank John Hughes,William J. Guarnere
0560200,Tim Matthews,Alex M. Penkala Jr.
0604156,Rene L. Moreno,Joseph Ramirez
0816669,Douglas Spain,Antonio C. Garcia
0817620,Richard Speight Jr.,Warren H. (Skip) Muck
0009716,Kirk Acevedo,Joseph D. Toye
0047248,Eion Bailey,David Kenyon Webster
1035498,Craig Heaney,Roy W. Cobb
0564499,Peter McCabe,Donald B. Hoobler
0786136,Matthew Settle,Ronald C. Speirs
0135196,Ben Caplan,Walter S. (Smokey) Gordon Jr.
0399427,Mark Huberman,Lester Hashey
0571204,Phil McKee,Major Robert L. Strayer
0041003,David Attenborough,Himself - Narrator
0000244,Sigourney Weaver,Narrator - US Version
0227759,Peter Dinklage,Tyrion Lannister
0372176,Lena Headey,Cersei Lannister
3592338,Emilia Clarke,Daenerys Targaryen
3229685,Kit Harington,Jon Snow
3849842,Sophie Turner,Sansa Stark
3586035,Maisie Williams,Arya Stark
0182666,Nikolaj Coster-Waldau,Jaime Lannister
0322513,Iain Glen,Jorah Mormont
0654295,Alfie Allen,Theon Greyjoy
4263213,John Bradley,Samwell Tarly
0384152,Conleth Hill,Lord Varys
0318821,Aidan Gillen,Petyr 'Littlefinger' Baelish
3729225,Gwendoline Christie,Brienne of Tarth
3652842,Isaac Hempstead Wright,Bran Stark
0283492,Jerome Flynn,Bronn
0002103,Julian Glover,Grand Maester Pycelle
0192377,Liam Cunningham,Davos Seaworth
0564920,Rory McCann,Sandor 'The Hound' Clegane
2812026,Nathalie Emmanuel,Missandei
0174005,Ben Crompton,Eddison Tollett
4535552,Daniel Portman,Podrick Payne
0001097,Charles Dance,Tywin Lannister
0396924,Carice van Houten,Melisandre
1754059,Natalie Dormer,Margaery Tyrell
0322416,Jack Gleeson,Joffrey Baratheon
0265610,Michelle Fairley,Catelyn Stark
1970465,Kristofer Hivju,Tormund Giantsbane
0568400,Ian McElhinney,Barristan Selmy
2760664,Jacob Anderson,Grey Worm
0226820,Stephen Dillane,Stannis Baratheon
3964231,Kristian Nairn,Hodor
0186505,Bryan Cranston,Walter White
0348152,Anna Gunn,Skyler White
0666739,Aaron Paul,Jesse Pinkman
1336827,Betsy Brandt,Marie Schrader
2666409,RJ Mitte,"Walter White, Jr."
