id,naslov,opis,leto,dolzina,epizode,ocena,st_glasov
5491994,Planet Earth II,David Attenborough returns in this breathtaking documentary showcasing life on Planet Earth.,2016-,51,7,9.7,17184
0185906,Band of Brothers,The story of Easy Company of the US Army 101st Airborne division and their mission in WWII Europe from Operation Overlord through V-J Day.,2001-,54,10,9.5,246659
0795176,Planet Earth,"Emmy Award-winning, 11 episodes, 5 years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.",2006-,43,11,9.5,111641
0944947,Game of Thrones,Nine noble families fight for control over the mythical lands of Westeros.,2011-,56,73,9.5,1106304
0903747,Breaking Bad,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,2008-2013,49,62,9.5,939633
0306414,The Wire,"Baltimore drug scene, seen through the eyes of drug dealers and law enforcement.",2002-2008,59,60,9.4,200345
2395695,Cosmos: A Spacetime Odyssey,A documentary series that explores how we discovered the laws of nature and found our coordinates in space and time.,2014-,41,13,9.3,66269
2861424,Rick and Morty,An animated series that follows the exploits of a super scientist and his not so bright grandson.,2013-,22,35,9.3,98719
0081846,Cosmos,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,1980-,60,13,9.3,23725
0141842,The Sopranos,"New Jersey mob boss, Tony Soprano, deals with personal and professional issues in his home and business life.",1999-2007,55,86,9.2,201084
1475582,Sherlock,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,2010-,60,15,9.2,546674
0071075,The World at War,A series of documentaries about World War II.,1973-,52,26,9.2,12769
1533395,Life,David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes.,2009-,42,10,9.2,25919
0098769,The Civil War,A comprehensive survey of the American Civil War.,1990-,73,9,9.3,6673
0417299,Avatar: The Last Airbender,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",2005-2008,23,62,9.2,141209
0303461,Firefly,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",2002-2003,44,14,9.1,195517
1806234,Human Planet,"Like all life forms, humanity partially adapts to types of natural environment, yet also tends to change them.",2011-,50,17,9.1,14302
3530232,Last Week Tonight with John Oliver,Former Daily Show host and correspondent John Oliver brings his persona to this new weekly news satire program.,2014-,30,91,9.1,43635
0092337,Dekalog,"Ten television drama films, each one based on one of the Ten Commandments.",1989-1990,54,10,9.1,13652
0475784,Westworld,"A Western-themed futuristic theme park, populated with artificial intelligence, allows high-paying guests to live out their fantasies with no consequences or retaliation from the android hosts, until now.",2016-,60,20,9.1,128785
0052520,The Twilight Zone,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",1959-1964,51,156,9.0,47302
2356777,True Detective,"An anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",2014-,55,16,9.1,345824
1355642,Fullmetal Alchemist: Brotherhood,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,2009-2010,24,64,9.1,56262
2802850,Fargo,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota.",2014-,53,30,9.0,189167
0296310,The Blue Planet,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",2001-,50,11,9.1,14770
2092588,Frozen Planet,Focuses on life and the environment in both the Arctic and Antarctic.,2011-,60,9,9.0,13085
0103359,Batman: The Animated Series,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,1992-1995,23,85,9.0,56245
4508902,One Punch Man,"The story of Saitama, a hero who is a hero just for fun &amp; can defeat his enemies with a single punch.",2015-,24,19,9.1,39282
0877057,Death Note,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,2006-2007,24,37,9.0,122185
0213338,Cowboy Bebop,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,1998-2003,24,26,9.0,55604
1856010,House of Cards,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,2013-,51,65,9.0,337667
0112130,Pride and Prejudice,Jane Austen's classic novel about the prejudice that occurred between the 19th century classes and the pride which would keep lovers apart.,1995-,50,6,9.0,55667
0063929,Monty Python's Flying Circus,The original surreal sketch comedy showcase for the Monty Python troupe.,1969-1974,30,46,8.9,47202
0367279,Arrested Development,Level-headed son Michael Bluth takes over family affairs after his father is imprisoned.,2003-,22,85,9.0,219048
0081834,Das Boot,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,1985-,40,6,9.0,13103
4742876,TVF Pitchers,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,2015-,40,5,9.4,34215
4574334,Stranger Things,"When a young boy disappears, his mother, a police chief, and his friends must confront terrifying forces in order to get him back.",2016-,55,17,9.0,248962
5712554,The Grand Tour,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe.",2016-,60,37,9.1,28835
3718778,Over the Garden Wall,Two brothers find themselves lost in a mysterious land and try to find their way home.,2014-,60,10,9.0,13068
1518542,Sarabhai vs Sarabhai,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background.",2004-2006,30,69,9.2,9270
0098904,Seinfeld,The continuing misadventures of neurotic New York stand-up comedian Jerry Seinfeld and his equally neurotic New York friends.,1989-1998,22,173,8.9,181255
2707408,Narcos,A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar.,2015-,49,40,8.9,163185
0098936,Twin Peaks,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,1990-1991,47,30,8.9,115990
2085059,Black Mirror,A television anthology series that shows the dark side of life and technology.,2011-,60,19,8.9,101721
0108778,Friends,Follows the personal and professional lives of six 20 to 30-something-year-old friends living in Manhattan.,1994-2004,22,236,9.0,508350
0074006,"I, Claudius",The history of the Roman Empire as experienced by one of its rulers.,1976-,50,13,8.9,11579
0081912,Only Fools and Horses....,Classic comedy following the misadventures of two Wheeler Dealer brothers Del Boy and Rodney Trotter who scrape their living by selling dodgy goods believing that next year they will be millionaires.,1981-2003,60,64,8.9,32669
0193676,Freaks and Geeks,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,1999-2000,44,18,8.9,97650
0096548,Blackadder Goes Forth,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.",1989-,20,6,8.8,34833
1865718,Gravity Falls,Twin siblings Dipper and Mabel Pines spend the summer at their uncle's tourist trap in the enigmatic town of Gravity Falls.,2012-2016,23,40,8.9,28086
0384766,Rome,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,2005-2007,60,22,8.8,118717
0072500,Fawlty Towers,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",1975-1979,30,12,8.8,61949
4786824,The Crown,The early reign of Queen Elizabeth II of the United Kingdom is portrayed.,2016-,52,13,8.9,22457
0096697,The Simpsons,The satiric adventures of a working-class family in the misfit city of Springfield.,1989-,22,618,8.8,279570
0118421,Oz,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,1997-2003,55,56,8.8,69702
5189670,Making a Murderer,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",2015-,60,14,8.8,48747
0090509,The Return of Sherlock Holmes,"Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.",1986-1988,60,11,8.9,5902
4299972,The Jinx: The Life and Deaths of Robert Durst,"Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon, Robert Durst, the key suspect in a series of unsolved crimes.",2015-,40,6,8.8,22008
0121955,South Park,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",1997-,22,281,8.8,251555
0214341,Dragon Ball Z,"After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.",1996-2003,24,277,8.8,82393
0120570,From the Earth to the Moon,Dramatized portrayal of the Apollo manned space program.,1998-,60,12,8.8,8124
1486217,Archer,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,2009-,22,93,8.8,96080
0412142,House,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,2004-2012,44,176,8.8,319888
5555260,This Is Us,"Follows a unique ensemble, as their paths cross and their life stories interwine, from sharing the same birthday, to so much more than anyone would expect.",2016-,45,54,8.9,17286
1628033,Top Gear,The hosts talk about everything car-related.,2002-,60,243,8.8,84582
0472954,It's Always Sunny in Philadelphia,Four young friends with big egos and slightly arrogant attitudes are the proprietors of an Irish bar in Philadelphia.,2005-,22,153,8.8,139733
2560140,Attack on Titan,"After his hometown is destroyed and his mother is killed, young Eren Jaegar vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",2013-,24,31,8.8,71580
0386676,The Office,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",2005-2013,22,188,8.8,212420
2098220,Hunter x Hunter,"Gon Freecs a young boy aspires to become a Hunter, an exceptionnal being capable of greatness.",2011-,24,148,8.9,20178
1910272,Steins;Gate,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",2011-,24,26,8.8,19680
0248654,Six Feet Under,A drama series that takes a darkly comical look at members of a dysfunctional California family that runs an independent funeral home.,2001-2005,55,63,8.8,94658
0353049,Chappelle's Show,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,2003-2006,22,33,8.7,37065
5425186,Horace and Pete,Horace and Pete is an American comedy-drama web series created by Louis C.,2016-,60,10,8.8,7953
2442560,Peaky Blinders,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",2013-,60,30,8.8,71801
5288312,Skam,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life.",2015-,30,33,9.1,8175
0121220,Dragon Ball Z,The adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin.,1989-1996,24,291,8.8,43730
0086661,The Adventures of Sherlock Holmes,"Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.",1984-1985,60,13,8.8,14367
0200276,The West Wing,Inside the lives of staffers in the West Wing of the White House.,1999-2006,44,155,8.8,46296
0403778,Long Way Round,This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world.,2004-,27,11,8.8,8948
0348914,Deadwood,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",2004-2006,55,36,8.7,68513
0096639,Lonesome Dove,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,1989-,90,4,8.8,15493
0417349,North & South,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.",2004-,45,4,8.8,22028
3322312,Daredevil,"Matt Murdock, with his other senses superhumanly enhanced, fights crime as a blind lawyer by day, and vigilante by night.",2015-,54,27,8.8,237455
