id,zanr
5491994,Documentary
0185906,Action
0185906,Drama
0185906,History
0185906,War
0795176,Documentary
0944947,Adventure
0944947,Drama
0944947,Fantasy
0944947,Romance
0903747,Crime
0903747,Drama
0903747,Thriller
0306414,Crime
0306414,Drama
0306414,Thriller
2395695,Documentary
2861424,Animation
2861424,Adventure
2861424,Comedy
2861424,Sci-Fi
0081846,Documentary
0141842,Crime
0141842,Drama
1475582,Crime
1475582,Drama
1475582,Mystery
0071075,Documentary
0071075,History
0071075,War
1533395,Documentary
0098769,Documentary
0098769,History
0098769,War
0417299,Animation
0417299,Action
0417299,Adventure
0417299,Family
0417299,Fantasy
0417299,Mystery
0303461,Adventure
0303461,Drama
0303461,Sci-Fi
1806234,Documentary
3530232,Comedy
3530232,News
3530232,Talk-Show
0092337,Drama
0475784,Drama
0475784,Mystery
0475784,Sci-Fi
0475784,Western
0052520,Fantasy
0052520,Horror
0052520,Mystery
0052520,Sci-Fi
0052520,Thriller
2356777,Crime
2356777,Drama
2356777,Mystery
2356777,Thriller
1355642,Animation
1355642,Action
1355642,Adventure
1355642,Comedy
1355642,Drama
1355642,Sci-Fi
2802850,Crime
2802850,Drama
2802850,Thriller
0296310,Documentary
2092588,Documentary
0103359,Animation
0103359,Action
0103359,Adventure
0103359,Family
0103359,Sci-Fi
4508902,Animation
4508902,Action
4508902,Comedy
4508902,Sci-Fi
0877057,Animation
0877057,Crime
0877057,Drama
0877057,Fantasy
0877057,Horror
0877057,Mystery
0877057,Thriller
0213338,Animation
0213338,Action
0213338,Adventure
0213338,Drama
0213338,Sci-Fi
0213338,Thriller
1856010,Drama
0112130,Drama
0112130,Romance
0063929,Comedy
0367279,Comedy
0081834,Drama
0081834,War
4742876,Comedy
4742876,Drama
4574334,Drama
4574334,Fantasy
4574334,Horror
4574334,Mystery
4574334,Sci-Fi
4574334,Thriller
5712554,Comedy
5712554,Talk-Show
3718778,Animation
3718778,Adventure
3718778,Drama
3718778,Family
3718778,Fantasy
3718778,Horror
3718778,Mystery
1518542,Comedy
0098904,Comedy
2707408,Biography
2707408,Crime
2707408,Drama
0098936,Crime
0098936,Drama
0098936,Mystery
0098936,Thriller
2085059,Drama
2085059,Sci-Fi
2085059,Thriller
0108778,Comedy
0108778,Romance
0074006,Drama
0074006,History
0081912,Comedy
0193676,Comedy
0193676,Drama
0096548,Comedy
0096548,War
1865718,Animation
1865718,Adventure
1865718,Comedy
1865718,Family
1865718,Fantasy
1865718,Mystery
1865718,Sci-Fi
0384766,Action
0384766,Drama
0384766,History
0384766,Romance
0384766,War
0072500,Comedy
4786824,Drama
4786824,History
0096697,Animation
0096697,Comedy
0118421,Crime
0118421,Drama
0118421,Romance
0118421,Thriller
5189670,Documentary
5189670,Crime
0090509,Crime
0090509,Drama
0090509,Mystery
4299972,Documentary
0121955,Animation
0121955,Comedy
0214341,Animation
0214341,Action
0214341,Adventure
0214341,Fantasy
0214341,Sci-Fi
0214341,Thriller
0120570,Action
0120570,Drama
0120570,History
0120570,Thriller
1486217,Animation
1486217,Action
1486217,Comedy
0412142,Drama
0412142,Mystery
5555260,Comedy
5555260,Drama
1628033,Comedy
1628033,Talk-Show
0472954,Comedy
2560140,Animation
2560140,Action
2560140,Adventure
2560140,Drama
2560140,Fantasy
2560140,Horror
0386676,Comedy
2098220,Animation
2098220,Action
2098220,Adventure
2098220,Comedy
2098220,Fantasy
1910272,Animation
1910272,Comedy
1910272,Drama
1910272,Romance
1910272,Sci-Fi
1910272,Thriller
0248654,Comedy
0248654,Drama
0353049,Comedy
0353049,Music
5425186,Comedy
5425186,Drama
2442560,Crime
2442560,Drama
5288312,Drama
0121220,Animation
0121220,Action
0121220,Adventure
0121220,Comedy
0121220,Drama
0121220,Fantasy
0121220,Sci-Fi
0121220,Thriller
0086661,Crime
0086661,Drama
0086661,Mystery
0200276,Drama
0403778,Documentary
0403778,Adventure
0348914,Crime
0348914,Drama
0348914,History
0348914,Western
0096639,Adventure
0096639,Drama
0096639,Western
0417349,Drama
0417349,Romance
3322312,Action
3322312,Crime
3322312,Drama
3322312,Sci-Fi
3322312,Thriller
0773262,Crime
0773262,Drama
0773262,Mystery
0773262,Thriller
2297757,Documentary
2297757,Comedy
3032476,Crime
3032476,Drama
0407362,Action
0407362,Adventure
0407362,Drama
0407362,Sci-Fi
0459159,Comedy
0088484,Comedy
0106179,Drama
0106179,Mystery
0106179,Sci-Fi
0106179,Thriller
0286486,Crime
0286486,Drama
0286486,Thriller
0264235,Comedy
0115147,Comedy
0115147,News
0115147,Talk-Show
0436992,Adventure
0436992,Drama
0436992,Family
0436992,Mystery
0436992,Sci-Fi
0203082,Animation
0203082,Action
0203082,Adventure
0203082,Drama
0203082,Romance
0380136,Comedy
0380136,Game-Show
0318871,Animation
0318871,Action
0318871,Adventure
0318871,Fantasy
0318871,Horror
0318871,Romance
0092324,Comedy
0094517,Comedy
0094517,Sci-Fi
0086831,Comedy
1513168,Documentary
0994314,Animation
0994314,Action
0994314,Adventure
0994314,Drama
0994314,Mystery
0994314,Sci-Fi
0994314,Thriller
2401256,Crime
2401256,Drama
0187664,Action
0187664,Comedy
0187664,Sci-Fi
0118273,Comedy
1586680,Comedy
1586680,Drama
1606375,Drama
1606375,Romance
0421357,Animation
0421357,Action
0421357,Adventure
0421357,Comedy
0421357,Drama
0421357,Fantasy
0421357,Sci-Fi
4158110,Crime
4158110,Drama
4158110,Thriller
0314979,Action
0314979,Adventure
0314979,Drama
0314979,Sci-Fi
0092455,Action
0092455,Adventure
0092455,Mystery
0092455,Sci-Fi
1641384,Animation
1641384,Action
1641384,Adventure
1641384,Drama
1641384,Romance
1641384,Sci-Fi
0080306,Comedy
1492966,Comedy
1492966,Drama
0995832,Drama
0995832,War
0388629,Animation
0388629,Action
0388629,Adventure
0388629,Comedy
0388629,Fantasy
0804503,Drama
1266020,Comedy
1305826,Animation
1305826,Adventure
1305826,Comedy
1305826,Family
1305826,Fantasy
1305826,Sci-Fi
2100976,Comedy
2100976,Reality-TV
0423731,Animation
0423731,Action
0423731,Adventure
0423731,Comedy
0423731,Drama
0758745,Drama
0758745,Sport
0472027,Biography
0472027,Drama
0472027,History
0053488,Animation
0053488,Comedy
3671754,Comedy
3671754,Drama
3671754,Family
0111958,Comedy
0434706,Animation
0434706,Crime
0434706,Drama
0434706,Mystery
0434706,Thriller
0863046,Comedy
0863046,Music
1227926,Comedy
1227926,Musical
1227926,Sci-Fi
0098825,Drama
0275137,Animation
0275137,Action
0275137,Adventure
0275137,Drama
0275137,Family
0275137,Fantasy
0275137,Mystery
0275137,Romance
0275137,Sci-Fi
0275137,Thriller
1489428,Action
1489428,Crime
1489428,Drama
1489428,Romance
1489428,Thriller
2049116,Crime
2049116,Drama
2049116,Thriller
1733785,Crime
1733785,Mystery
1733785,Thriller
0112159,Animation
0112159,Action
0112159,Drama
0112159,Sci-Fi
0112159,Thriller
0979432,Crime
0979432,Drama
0979432,History
0047708,Crime
0047708,Drama
0047708,Mystery
0047708,Thriller
1831164,Adventure
1831164,Comedy
1831164,Drama
1831164,Fantasy
1831164,Mystery
1831164,Romance
4189022,Action
4189022,Comedy
4189022,Fantasy
4189022,Horror
0088509,Animation
0088509,Action
0088509,Adventure
0088509,Comedy
0088509,Fantasy
0088509,Sci-Fi
0088509,Thriller
4288182,Comedy
4288182,Drama
0290978,Comedy
0290978,Drama
0237123,Comedy
0237123,Romance
0280249,Animation
0280249,Action
0280249,Adventure
0280249,Fantasy
0280249,Sci-Fi
0280249,Thriller
0106028,Crime
0106028,Drama
0106028,Mystery
0106028,Thriller
1870479,Drama
0458254,Comedy
0458254,News
0458254,Talk-Show
0387764,Comedy
1758429,Action
1758429,Adventure
1758429,Biography
1758429,Drama
1758429,History
1758429,Romance
0182629,Animation
0182629,Action
0182629,Adventure
0182629,Comedy
0182629,Drama
0182629,Fantasy
0182629,History
0182629,Romance
0182629,Thriller
0080297,Drama
0080297,Thriller
0163507,Comedy
0163507,Game-Show
0061287,Drama
0061287,Mystery
0061287,Sci-Fi
0118266,Animation
0118266,Action
0118266,Adventure
0118266,Crime
0118266,Drama
0118266,Family
0118266,Fantasy
0118266,Mystery
2306299,Action
2306299,Drama
2306299,History
2306299,Romance
2306299,War
0094525,Drama
0094525,Mystery
0094525,Crime
0094525,Thriller
1474684,Crime
1474684,Drama
1474684,Mystery
1474684,Thriller
0417373,Animation
0417373,Comedy
0417373,Sci-Fi
1632701,Comedy
1632701,Drama
0487831,Comedy
1695360,Animation
1695360,Action
1695360,Adventure
1695360,Drama
1695360,Family
1695360,Fantasy
1695360,Sci-Fi
0096657,Comedy
0096657,Family
0262150,Comedy
0346314,Animation
0346314,Action
0346314,Crime
0346314,Sci-Fi
0346314,Thriller
0129690,Comedy
2243973,Crime
2243973,Drama
2243973,Horror
2243973,Mystery
2243973,Thriller
0149460,Animation
0149460,Comedy
0149460,Romance
0149460,Sci-Fi
1442449,Action
1442449,Adventure
1442449,Biography
1442449,Drama
1442449,History
1442449,Romance
0075520,Biography
0075520,Drama
0075520,History
1795096,Comedy
1795096,Crime
1795096,Drama
1795096,Mystery
1795096,Thriller
1124373,Crime
1124373,Drama
1124373,Thriller
2575988,Comedy
2788432,Biography
2788432,Crime
2788432,Drama
2937900,Drama
4156586,Comedy
4156586,Romance
0397150,Comedy
2433738,Crime
2433738,Drama
2311418,Comedy
1439629,Comedy
0319969,Drama
0319969,Fantasy
0319969,Mystery
0319969,Thriller
0083466,Comedy
0083466,Crime
1442437,Comedy
1442437,Romance
0103584,Animation
0103584,Action
0103584,Family
0103584,Sci-Fi
0103584,Thriller
0362192,Crime
0362192,Drama
0362192,Mystery
0362192,Romance
0362192,Thriller
0070644,Drama
2701582,Crime
2701582,Drama
2701582,Mystery
0098833,Comedy
0387199,Comedy
0387199,Drama
0103466,Comedy
1883092,Action
1883092,Drama
1883092,History
1883092,War
3428912,Crime
3428912,Drama
2384811,Drama
2384811,Mystery
2384811,Sci-Fi
2384811,Thriller
0074028,Comedy
0074028,Family
0074028,Music
0807832,Animation
0807832,Drama
0807832,Fantasy
0807832,Horror
0807832,Mystery
0807832,Thriller
1520211,Drama
1520211,Horror
1520211,Thriller
0056751,Adventure
0056751,Drama
0056751,Family
0056751,Sci-Fi
0075572,Drama
0075572,History
0075572,War
0112084,Comedy
0185133,Animation
0185133,Action
0185133,Comedy
0185133,Drama
0185133,Fantasy
0185133,Romance
0337898,Crime
0337898,Drama
0988824,Animation
0988824,Action
0988824,Adventure
0988824,Drama
0988824,Fantasy
1526318,Drama
0094535,Comedy
0094535,Sci-Fi
0108906,Comedy
0108906,Drama
0108906,Fantasy
0108906,Horror
0108906,Mystery
0495212,Animation
0495212,Action
0495212,Fantasy
0495212,Horror
2407574,Comedy
2407574,Drama
2407574,Romance
1598754,Action
1598754,Crime
1598754,Drama
1598754,Mystery
1598754,Thriller
0163503,Documentary
0934320,Comedy
0934320,Drama
0934320,Family
0934320,Musical
0934320,Romance
0290988,Comedy
0290988,Crime
0290988,Drama
1299368,Crime
1299368,Drama
1299368,Thriller
0442632,Drama
0460681,Drama
0460681,Fantasy
0460681,Horror
0460681,Mystery
0460681,Thriller
1220617,Comedy
1119644,Drama
1119644,Mystery
1119644,Sci-Fi
1119644,Thriller
0043208,Comedy
0043208,Family
0278238,Animation
0278238,Action
0278238,Adventure
0278238,Fantasy
0278238,Sci-Fi
0278238,Thriller
3655448,Drama
3398228,Animation
3398228,Comedy
3398228,Drama
2578560,Comedy
0411008,Adventure
0411008,Drama
0411008,Fantasy
0411008,Mystery
0411008,Sci-Fi
0411008,Thriller
0455275,Action
0455275,Crime
0455275,Drama
0455275,Mystery
0455275,Thriller
0068098,Comedy
0068098,Drama
0068098,War
0402711,Comedy
0402711,Crime
0402711,Drama
4592410,Drama
4592410,Music
4592410,Musical
0445114,Comedy
0445114,Drama
0060028,Action
0060028,Adventure
0060028,Mystery
0060028,Sci-Fi
0118480,Action
0118480,Adventure
0118480,Drama
0118480,Sci-Fi
0925266,Comedy
0925266,Drama
0925266,Fantasy
0925266,Mystery
0925266,Romance
3012698,Drama
